Time, z_position, z_position_rk_tendency, y_position, y_position_rk_tendency, x_position, x_position_rk_tendency, volume, qr, nr, vterm, prevp, nrevp
    9.70,      2985.8661107540,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009979670,     55353.8359736105,         1.4557623314,        -0.0000001940,      -454.1832904818
    9.80,      2985.7205064688,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009979477,     55308.4573051449,         1.4560428309,        -0.0000001938,      -453.7866778943
    9.90,      2985.5748741288,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009979283,     55263.1182570476,         1.4563233782,        -0.0000001935,      -453.3904742175
   10.00,      2985.4292137293,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009979090,     55217.8187884872,         1.4566039732,        -0.0000001933,      -452.9946788539
   10.10,      2985.2835252655,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009978897,     55172.5588586920,         1.4568846158,        -0.0000001930,      -452.5992912072
   10.20,      2985.1378087327,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009978704,     55127.3384269499,         1.4571653062,        -0.0000001928,      -452.2043106826
   10.30,      2984.9920641261,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009978512,     55082.1574526080,         1.4574460444,        -0.0000001925,      -451.8097366866
   10.40,      2984.8462914409,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009978319,     55037.0158950726,         1.4577268303,        -0.0000001922,      -451.4155686271
   10.50,      2984.7004906723,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009978127,     54991.9137138093,         1.4580076641,        -0.0000001920,      -451.0218059131
   10.60,      2984.5546618156,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009977936,     54946.8508683422,         1.4582885456,        -0.0000001917,      -450.6284479553
